nbar,component,multiplier_x,multiplier_y,multiplier_product,observed,fitted_prediction,fitted_residual,loocv_prediction,loocv_residual,fitted_residual_over_peak,loocv_residual_over_peak
0.01,coherent_h_XX,0.5,4.0,2.0,2.208140622624727e-07,2.3616016117273074e-07,-1.534609891025805e-08,2.3629731385116344e-07,-1.5483251588690748e-08,-0.008101540034667698,-0.008173945922423424
0.01,coherent_h_XX,1.0,4.0,4.0,4.760905924217074e-07,4.723203223454615e-07,3.770270076245949e-09,4.721818248365622e-07,3.908767585145197e-09,0.0019904077344241856,0.002063523587489552
0.01,coherent_h_XX,2.0,4.0,8.0,9.421889170854042e-07,9.44640644690923e-07,-2.4517276055187508e-09,9.450455098849321e-07,-2.8565927995279376e-09,-0.0012943204306426653,-0.001508057589323195
0.01,coherent_h_XX,4.0,4.0,16.0,1.8942199686219907e-06,1.889281289381846e-06,4.938679240144815e-09,1.882816338864865e-06,1.1403629757125633e-08,0.0026072363938479705,0.006020224655018054
0.01,correlated_gamma_XX,0.5,0.5,0.25,1.0342594650276364e-08,-2.1680094250989412e-09,1.2510604075375305e-08,-2.169741236294314e-09,1.2512335886570677e-08,0.08892630563535804,0.08893861547833082
0.01,correlated_gamma_XX,1.0,0.5,0.5,-1.2079795653576482e-08,-4.3360188501978824e-09,-7.7437768033786e-09,-4.331729263268992e-09,-7.74806639030749e-09,-0.05504334232306711,-0.055073833026472764
0.01,correlated_gamma_XX,2.0,0.5,1.0,2.894104920206647e-09,-8.672037700395765e-09,1.1566142620602412e-08,-8.697708151488793e-09,1.159181307169544e-08,0.08221300326546992,0.08239547074393398
0.01,correlated_gamma_XX,4.0,0.5,2.0,1.0004691748599336e-08,-1.734407540079153e-08,2.7348767149390867e-08,-1.758849951719441e-08,2.7593191265793743e-08,0.19439707400411949,0.19613445882973932
0.01,correlated_gamma_XX,0.5,1.0,0.5,-5.4088080835459944e-09,-4.3360188501978824e-09,-1.072789233348112e-09,-4.3354245894399e-09,-1.0733834941060947e-09,-0.007625465778651762,-0.007629689828383739
0.01,correlated_gamma_XX,1.0,1.0,1.0,-7.328673978163869e-10,-8.672037700395765e-09,7.939170302579378e-09,-8.68965827534947e-09,7.956790877533084e-09,0.05643221386950913,0.056557462228770075
0.01,correlated_gamma_XX,2.0,1.0,2.0,-1.2159855774042663e-08,-1.734407540079153e-08,5.184219626748866e-09,-1.7390408323024726e-08,5.230552548982063e-09,0.0368498192598475,0.03717915712224523
0.01,correlated_gamma_XX,4.0,1.0,4.0,-1.2420618585587036e-08,-3.468815080158306e-08,2.2267532215996023e-08,-3.5506128739206105e-08,2.3085510153619068e-08,0.15827927761557276,0.16409352572428088
0.01,correlated_gamma_XX,0.5,2.0,1.0,-3.438176698607189e-08,-8.672037700395765e-09,-2.5709729285676128e-08,-8.614976295406054e-09,-2.5766790690665835e-08,-0.18274667078310247,-0.1831522675000576
0.01,correlated_gamma_XX,1.0,2.0,2.0,-2.5128531300633413e-08,-1.734407540079153e-08,-7.784455899841883e-09,-1.7274503388839307e-08,-7.854027911794106e-09,-0.05533249237076019,-0.05582701541387269
0.01,correlated_gamma_XX,2.0,2.0,4.0,-4.2069616231897175e-08,-3.468815080158306e-08,-7.381465430314116e-09,-3.4416999251839855e-08,-7.65261698005732e-09,-0.0524680060961206,-0.054395371508748916
0.01,correlated_gamma_XX,4.0,2.0,8.0,-7.938502227816193e-08,-6.937630160316612e-08,-1.0008720674995815e-08,-6.772351496049627e-08,-1.1661507317665665e-08,-0.07114273206962668,-0.08289086263555119
0.01,correlated_gamma_XX,0.5,4.0,2.0,-1.1573674853561909e-08,-1.734407540079153e-08,5.770400547229621e-09,-1.7395647197331495e-08,5.821972343769586e-09,0.0410164369050249,0.04138301307621908
0.01,correlated_gamma_XX,1.0,4.0,4.0,-3.239084549373427e-08,-3.468815080158306e-08,2.2973053078487896e-09,-3.477254026331491e-08,2.381694769580641e-09,0.01632941724577462,0.01692926382561652
